主席,125915,，:7200,。:3753,的:1974,請:1649,我們:1160,報告:1114,黨團:1107,…:1022,有:1000,現在:899,發言:854,院會:846,？:829,表決:809,謝謝:622,我:619,進行:615,、:582,來:522,提議:479,在:459,進黨:435,是:425,舉手:424,無異議:424,對:412,委員:403,就:402,會:376,了:373,重付:365,好:355,一下:347,要:346,決:333,黨:323,國民黨:319,大家:312,接下:306,處理:303,人:294,討論:290,提案:286,通過:275,結果:274,（:273,）:273,你:272,意見:267,再:263,因為:255,程序:254,時間:245,也:244,沒:234,都:225,跟:219,現有民:219,問院:215,本案:212,！:210,委員會:206,分鐘:202,今天:198,說明:198,各位:194,協商:189,沒有:189,第:188,手表:187,修正:178,無:173,條:173,到:171,名表:171,如果:170,說:169,總召:167,贊成者:163,這個:161,贊成民:158,柯總召:156,等:154,不:154,動議:150,所以:148,台灣民眾:146,案:145,審查:144,可以:143,照:141,採用點:141,贊成:140,剛剛:139,針對:138,條文:134,好不好:133,見:133,就是:132,後:131
柯委員建銘,104755,，:7183,的:2274,你:1111,是:1104,。:1079,我:1018,在:830,？:804,我們:803,要:764,有:692,都:688,！:672,、:627,…:590,了:560,來:552,也:543,這個:496,就:475,大家:459,很:390,說:382,所以:364,一個:349,立法院:347,他:345,可以:334,時候:317,不:312,清楚:295,就是:295,今天:293,沒:285,協商:282,什麼:280,嘛:276,對:275,後:254,院長:252,這樣:249,問題:248,這是:231,一下:227,但是:221,沒有:220,不要:217,話:209,國會:203,到:200,嗎:191,把:186,啦:185,好:184,不是:180,事情:176,那:174,朝野:173,啊:170,報告:169,黃:168,去:164,長:164,憲法:163,做:162,會:160,委員:159,等:156,人:155,上:152,個:152,再:148,年:148,這裡:142,因為:142,當然:137,於:131,讓:129,討論:128,知道:126,跟:126,總統:124,係:122,一直:122,國民黨:121,處理:119,你們:118,法案:118,得:116,崐:116,萁:116,黨:115,程序:113,怎麼:113,以:112,才:111,為:109,這:108,發言:105,月:103
吳委員思瑤,84551,，:4815,的:3177,。:878,是:848,、:817,我:681,在:652,我們:631,有:496,？:458,要:447,！:411,也:366,了:364,都:358,討論:347,所以:329,就:311,國會:310,就是:309,來:307,對:282,…:270,不:260,這個:239,說:235,委員:232,黨:231,立法院:230,可以:228,提案:218,一個:216,條文:199,什麼:197,協商:193,跟:192,今天:189,因為:174,沒有:172,嗎:172,於:165,為:162,好:162,說明:161,大家:159,再:158,這是:157,非常:156,不是:151,你:151,個:150,讓:150,他:147,時間:141,院長:139,如果:137,這樣:135,沒:135,改革:133,您:133,版本:132,報告:131,法案:129,啊:128,總統:127,委員會:124,它:123,主席:123,不要:122,剛剛:119,程序:119,進行:116,到:116,很:112,上:107,國民黨:107,一下:103,後:101,這:100,這裡:99,去:99,條:99,一次:96,處理:94,憲法:94,立法:93,行使:93,被:91,年:90,請:90,更:90,進步:89,逐條:89,民主:88,黨團:86,發言:86,這麼:85,但是:85,提出:83,審查:83
莊委員瑞雄,36780,，:2334,的:978,你:555,我:424,是:370,！:341,。:317,在:292,？:286,我們:268,也:246,有:246,要:244,就:242,都:227,來:223,了:194,這個:193,說:191,、:165,…:160,立法院:157,到:129,啦:125,就是:124,去:123,大家:122,啊:120,不:119,對:119,一個:118,沒:114,做:112,這樣:106,跟:104,什麼:98,不是:98,國會:95,可以:92,很:91,他:88,主席:86,後:81,嗎:75,討論:75,看:73,時候:72,讓:70,國民黨:70,不要:65,好:64,委員:63,會:62,院長:61,如果:61,所以:58,今天:58,把:57,人:57,個:55,以:55,嘛:55,黨:55,為:54,你們:53,其實:53,現在:53,整個:53,話:52,總統:52,們:51,協商:50,認為:49,一直:48,提出:48,部分:47,但是:46,版本:46,評估:45,沒有:44,可行性:43,真的:42,聽:42,立法:42,這:41,它:41,秘書長:41,臺:41,到底:40,一下:40,那:39,年:39,於:39,人民:39,但:38,他們:37,憲法:37,知道:36,法律:36,這是:35
黃委員國昌,34305,，:1970,的:1370,我們:382,是:332,。:299,我:295,在:277,了:227,有:214,院長:183,協商:182,要:181,就:174,來:172,？:172,黨團:161,、:150,時候:147,這個:142,也:138,說:137,都:113,！:105,跟:102,不:99,對:96,立法院:96,可以:95,黨:93,事情:92,因為:85,一個:85,什麼:84,進行:78,沒:78,國會:75,提出:75,於:74,所:73,你:73,到:72,剛剛:71,報告:70,那:70,他:69,所以:68,沒有:65,後:64,非常:63,就是:62,上:60,秘書長:59,月:58,希望:58,如果:58,總統:58,大家:57,時間:55,規則:55,民主:55,處理:54,嘛:54,再:53,會:53,今天:52,問題:52,個:52,人:52,針對:51,謝謝:49,上面:49,發言:49,很:48,不是:48,一次:47,召集:47,好:46,做:45,清楚:44,進步:44,討論:43,話:43,同意:42,嗎:42,一下:41,把:41,還是:41,去:41,得:41,長:40,這樣:40,以:39,議事:39,尊重:39,啊:38,改革:38,年:37,請:37,程序:36,禮拜:36
傅委員崐萁,32166,，:1932,的:1026,我們:367,在:349,。:290,是:267,、:215,有:212,要:212,來:201,都:195,？:187,也:170,了:145,今天:139,我:137,…:134,黨:130,國會:124,！:121,你:108,就:108,這個:107,立法院:103,到:99,院長:98,一個:96,這裡:95,可以:87,年:86,能夠:83,什麼:82,讓:82,民進:82,做:81,對:78,大家:74,不:73,就是:71,臺:71,所以:70,很:69,協商:68,後:68,為:68,把:67,所有:63,長:60,沒:59,討論:59,事情:56,月:55,總統:55,強調:53,沒有:53,清楚:53,提出:53,再:52,時間:52,處理:51,人:51,因為:49,地:49,他們:49,不是:49,他:48,但是:48,現在:47,委員會:46,特別:45,一次:45,希望:45,跟:44,已經:43,所:42,時候:42,這些:41,問題:40,說:40,柯總召:39,如果:39,嗎:39,以:38,去:36,政府:36,報告:36,不要:36,不斷:36,人民:35,這樣:35,還是:34,得:34,會:34,我想:33,尊重:33,不能:33,改革:33,議事:32,國家:32,這:32
鍾委員佳濱,30337,，:1688,的:946,。:322,？:295,我們:294,有:266,是:254,在:240,、:206,要:175,我:152,你:141,了:134,！:128,立法院:111,來:108,…:96,對:96,可以:90,就:89,都:87,討論:87,也:86,說:83,到:81,不:81,沒:81,主席:78,這個:78,請:75,國會:71,一個:71,什麼:71,這樣:71,職權:70,因為:69,行使:68,但是:67,委員:66,所以:65,於:64,就是:61,時候:60,今天:59,人民:59,條:58,跟:57,一下:57,版本:56,嗎:55,為:53,它:53,如果:52,說明:50,他:50,提案:49,會:49,上:48,要求:48,秘書長:48,萬:48,包括:47,後:47,立法:46,總統:46,沒有:45,山地:45,好:44,個:44,第:43,很:42,黨:40,條文:40,進行:40,審查:40,去:39,他們:39,鄉:39,再:38,目前:37,刑法:37,保障:37,人:37,把:37,國民黨:36,機關:36,部分:35,提出:35,之:35,不是:35,啊:35,看:34,啦:33,所:33,之一:33,有意:33,1:33,原住民:32,報告:32,見:32
洪委員孟楷,25940,，:1516,的:772,我們:343,是:237,、:234,。:223,在:214,有:191,我:180,？:148,都:133,也:129,來:121,要:118,院長:114,就:99,一個:93,了:92,今天:89,黨團:87,協商:86,你:86,所以:85,總統:81,沒有:78,說:77,就是:77,沒:76,…:70,如果:69,民進:65,時候:65,話:65,做:63,不:62,後:62,到:61,還是:60,黨:59,對:58,剛剛:55,可以:55,！:53,大家:52,月:51,時間:51,但是:50,現在:50,討論:49,報告:49,能夠:48,讓:47,什麼:46,嗎:46,真的:45,因為:44,會:44,這個:44,尊重:43,國會:43,希望:42,再:41,不是:39,立法院:39,人:38,一次:38,把:37,代表:37,謝謝:36,這樣:36,跟:36,得:35,之:35,分鐘:35,提出:35,上:35,其實:34,這是:34,委員:34,年:34,已經:33,想:33,於:33,過去:33,長:33,召開:32,質詢:32,想要:32,相關:32,但:32,主席:31,最:31,他:31,5:31,那:30,請:30,行政院:30,發言:30,看到:29,非常:29
沈委員發惠,19289,，:1115,的:553,。:222,我們:190,是:166,在:162,有:162,我:139,你:138,要:134,？:130,、:122,都:118,…:118,！:110,這個:98,了:89,就:87,就是:78,立法院:77,討論:77,主席:73,來:73,不:73,國會:72,保留:70,對:68,今天:62,大家:62,什麼:61,也:60,說:58,沒:49,一個:46,不要:46,程序:44,要求:44,但是:43,黨:42,不是:42,可以:40,立法:39,這:39,這些:38,安全:38,處理:37,資通:37,所以:36,做:36,這樣:34,議題:34,讓:34,跟:34,後:33,啦:33,為:31,藐視:31,沒有:31,現在:30,表決:30,改革:29,應該:28,會議:28,委員:27,公聽會:27,其實:27,見:27,時候:27,部分:27,人:27,有意:26,這麼:26,法案:26,審查:25,因為:25,嗎:25,到:25,民進:25,你們:25,質詢:24,秘書長:24,把:24,國民黨:23,通過:23,包括:22,提案:22,那:22,針對:22,所:22,會:22,協商:22,他們:22,發言:21,於:21,很:21,多:21,上:21,剛剛:20,如果:20,草案:20
羅委員智強,18325,，:1033,的:548,我:196,。:193,！:156,是:149,黨:140,我們:136,你:133,？:132,民進:120,、:118,就:114,在:109,有:102,了:100,也:97,國會:91,不:85,討論:79,今天:75,說:75,啊:74,對:68,跟:67,要:66,改革:66,啦:65,版本:63,主席:58,…:58,年:57,所以:57,什麼:53,來:53,都:51,就是:50,立法院:48,法案:43,讓:43,為:42,秘書長:41,可以:40,一個:39,得:36,沒:35,很:34,國民黨:33,嗎:31,沒有:30,他:30,2016:30,這樣:29,立法:29,好:28,大家:28,我要:28,我覺:27,於:27,吳宗憲:27,進黨:26,再:26,3:26,發言:25,覺得:25,公聽會:25,調查:25,這個:24,非常:23,社會:23,聽證:23,一下:23,1:23,其實:22,謝謝:22,上:22,後:22,如果:22,把:22,那:21,能夠:21,知道:21,真的:21,議事:20,呢:20,大眾:20,時候:20,不是:20,請:20,嘛:20,這邊:20,各位:20,臺:20,不要:20,場公聽會:20,因為:19,主張:19,8:19,報告:19,召委:19
