text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
柯委員建銘：院長，坦白講，我一直試圖讓我們講很多話會有一個結論，但是要謹守整個法律，我一直在講一個事情，今天是立法院非常關鍵的一天，都是在大家一念之間，你要把它破壞掉，民主就毀了。所以我今天很誠懇地說大家把話講透了，剛才也在外面跟韓院長還有傅崐萁總召、吳思瑤及洪孟楷，我們在外面有先講過要解決事情比較重要，但是要在立法院軌道上來完成，我必須承認，我也瞭解我們堅守的是什麼東西，請大家瞭解，韓院長也一直跟我講他會很中立處理，不會把立法院搞亂掉，你還講一句話說：我們都這把年紀了，還在吵什麼。這都是很誠懇的話，我也非常感念韓院長有這種體認，於是乎我們三個人，除了黃國昌以外，我們在外面都講好了，而且我進來代表大家的談話內容做一個試圖性的解決，環島高等這兩個案子我們理念講得非常透澈，包括吳思瑤及莊瑞雄剛才在補充，我上次可能講了兩次以上，我也不會為難大家。但是我們做這樣嘗試性結論的時候，大家覺得很滿意，黃國昌不同意，轉到別的地方去了，轉到前天程序委員會強行表決通過國會三法放在討論事項第一、第二、第三案，這個怎麼解決？這就是變更議程，大家談好就變更議程把環島高弄到前面來，這個很簡單嘛，所以黃國昌委員常常講完就走，我一直說ちょっと待ってください，不要走，拜託！拜託！他所堅持的就是一些程序性問題，我講話你有沒有來插話？我承認他講話我有插過話，我講話他也插過我的話，或插過誰的話，都有！,內文,0.0,0.0,,,,,
今天禮拜四，昨天我特別到司法及法制委會，黃國昌第一個發言有關於阿扁的案子，我在那邊看他講話，而且一個人的時間都講得很清楚，他照常超過發言時間，吳宗憲不得不站起來，我們還是很忍耐，我在看他到底有沒有守規矩，不要用這個東西來講。所以今天我們要講清楚，只要黃國昌委員走了以後，我們今天試圖把這件事情圓滿起來，簽一個朝野協商結論，明天在院會大家講好大體討論幾個人，逐條討論幾個人，我們程序就這樣子走過去，表決輸了，願賭服輸，我們也不可能表決贏嘛！我們一定會釋憲，就是這樣而已，這個東西就是在程序軌道上，我們還要謹守我們所能努力的方向，但是他今天走了之後要怎麼處理？連傅總召剛才胡言亂語一通，在那邊發表演講都講錯，還要烙兄弟話，整個程序都是一路沒收，他覺得這個沒收是很有道理，他現在不在這裡，我也不要缺席審判。院長，現在要怎麼處理？他們兩個總召都走了，我們在這裡……,內文,0.0,0.0,,,,,
主席：不會啦，吳春城委員、洪孟楷委員也在，好不好？控制一下時間，謝謝。,內文,0.0,0.0,,,,,
柯委員建銘：我們在這裡很認真地討論，明天至少不要發生衝突，但是我一直講一句話：沒有經過朝野協商的東西，也沒有經過院會討論的東西，直接表決，那絕對會衝突，這是民主的最後一道防線，也不是在恐嚇誰，所以這個很重要。洪孟楷，黃國昌表示不要，你就翻盤、傅崐萁就翻盤，這是要怎麼處理？這些都是現場講的，大家都很明白，不是這樣搞法啦！立法院職權行使法第七十一條之一講得很清楚，一個月沒有結論，另定期處理，不是馬上處理，而且院長，你最重要的職權就是第六十八條到第七十一條，第六十八條去處理朝野協商的問題，有爭議的事情是你來處理，兄弟啊！我們都30年老……你要確實幹起院長的角色，我們可以樂意跟你配合，但只要維持民主程序，好不好？要怎麼做？我們現在說的話是有算數嗎？明天有辦法做嗎？,內文,0.0,0.0,,,,,
主席：繼續……,內文,0.0,0.0,,,,,
柯委員建銘：如果沒有辦法我們就白搞了！,內文,0.0,0.0,,,,,
主席：謝謝柯總召，把麥克風按掉。謝謝，接下來請洪孟楷書記長發言，吳思瑤委員請準備。,內文,0.0,0.0,,,,,
洪委員孟楷：好，謝謝院長，我們現在進入到第二條的部分，但我先講，針對柯總召剛剛所講的，如果說要扣這大帽子，說什麼現在破壞之後，民主體制就破壞，我們只想問，過去第9屆、第10屆，你們民進黨破壞得還少嗎？再者，剛剛民進黨團代表一直講過去有協商9次、協商8次、協商幾次的經驗，是各黨有提出相關的版本能夠讓院長調和鼎鼐，把各版本限縮、限縮再限縮，提出有一些共識，所以當然可以協商啊！可是從環島高鐵也好、花東快也好，或者是相關的建設，一開始開宗明義，我就有提出如果民進黨的代表真的有意見、真的有想法，拿出版本來，行政部門拿出版本來，我們針對逐條、逐條，大家去異求同……,內文,0.0,0.0,,,,,
柯委員建銘：小兄弟，我反對你了我還會拿版本？有邏輯一點嘛！,內文,0.0,0.0,,,,,
洪委員孟楷：你如果沒有辦法有版本，那你協商50次……,內文,0.0,0.0,,,,,
柯委員建銘：違憲還要拿版本？,內文,0.0,0.0,,,,,
