text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　議案編號：202110027460000,內文,0.0,8.350000381469727,,,,,
立法院議案關係文書　,內文,0.0,0.0,,,,,
,內文,0.0,0.0,,,,,
"院總第20號
",院總號/內文,0.0,0.0,1,1,1,1,0
"委員
",提案號/內文,0.0,0.0,2,1,1,1,0
"提案第
",提案號/內文,0.0,0.0,3,1,1,1,0
"11002746
",提案號/內文,0.0,0.0,4,1,1,1,0
"號
",提案號/內文,0.0,0.0,5,1,1,1,0
"
",提案號/內文,0.0,0.0,6,1,1,1,0
"
",提案號/內文,0.0,0.0,7,1,1,1,0
"
",內文,0.0,0.0,2,1,1,1,0
,案由(議)/內文,0.0,0.0,,,,,
案由：本院委員鄭天財Sra Kacaw等19人，有鑑於現行《立法院職權行使法》相關規定，有礙總統國情報告與立法委員質詢權及同意權之行使，爰擬具「立法院職權行使法部分條文修正草案」。是否有當？敬請公決。,案由(議)/內文,0.0,0.0,,,,,
,案由(議)/內文,0.0,0.0,,,,,
說明：,說明/內文,0.0,0.0,,,,,
一、現行《中華民國憲法增修條文》第四條第三項規定：「立法院於每年集會時，得聽取總統國情報告。」惟現行《立法院職權行使法》第十五條之二明定，「立法院得經全體立法委員四分之一以上提議，院會決議後，由程序委員會排定議程，就國家安全大政方針，聽取總統國情報告」無疑限縮總統國情報告之範圍至國家安全大政方針，與憲法所明定總統國情報告之範圍相牴觸。,說明(無函件項目符號)/內文,0.0,0.0,,,,,
二、次按現行《立法院職權行使法》第十五條之四，立法委員於總統國情報告完畢後，得就報告不明瞭處，提出問題；其發言時間、人數、順序、政黨比例等事項，由黨團協商決定。準此，立法委員對總統國報告之提問，必須透過黨團針對人數、順序及政黨比例協商始能決定，而非當然之權力，有礙立法委員職權之完整行使。,說明(無函件項目符號)/內文,0.0,0.0,,,,,
三、再按現行《立法院職權行使法》第二十五條，立法委員於質詢時，若被質詢人對於質詢之答復超過質詢範圍之外時，必須請示主席後，由主席加以制止，質詢委員無權直接排除被質詢人故意答非所問、離題或超過範圍之行為，嚴重阻礙委員行使質詢之攻防，且對於委員之質詢權並不尊重。故有必要增訂質詢委員對於質詢之答復超過質詢範圍時，亦得加以制止之規定。,說明(無函件項目符號)/內文,0.0,0.0,,,,,
四、復按《法院組織法》第六十六條第二項規定，最高檢察署檢察總長由總統提名，經立法院同意任命之；同法第四項亦規定，最高檢察署檢察總長因故出缺或無法視事時，總統應於三個月內重新提出人選，經立法院同意任命之。是項同意權之行使漏未納入現行《立法院職權行使法》第二十九條加以規範，應補充修正之。,說明(無函件項目符號)/內文,0.0,0.0,,,,,
,內文,0.0,0.0,,,,,
提案人：鄭天財Sra Kacaw,提案連署人-議程/內文,0.0,0.0,,,,,
連署人：李彥秀　　林沛祥　　黃健豪　　賴士葆　　林德福　　羅明才　　邱鎮軍　　謝衣鳯　　黃建賓　　魯明哲　　林國成　　吳宗憲　　呂玉玲　　鄭正鈐　　陳超明　　陳雪生　　王鴻薇　　顏寬恒　　,提案連署人-議程/內文,0.0,0.0,,,,,
,說明(內文)/內文,0.0,0.0,,,,,
,內文,0.0,0.0,,,,,
"
立法院職權行使法部分條文修正條文對照表
",內文,5.25,5.25,1,1,3,1,1
"
",內文,0.0,0.0,,,,,
"修正條文
",表格第一列(文字分散)/內文,0.0,0.0,1,2,1,1,1
"現行條文
",表格第一列(文字分散)/內文,0.0,0.0,2,2,1,1,1
"說明
",表格第一列(文字分散)/內文,0.0,0.0,3,2,1,1,1
"
",內文,0.0,0.0,2,2,1,1,1
第十五條之二　立法院得經全體立法委員四分之一以上提議，院會決議後，由程序委員會排定議程，聽取總統國情報告。,內文,0.0,0.0,1,3,1,1,1
"總統就其職權相關之國家大政方針，得咨請立法院同意後，至立法院進行國情報告。
",內文,0.0,0.0,1,3,1,1,1
第十五條之二　立法院得經全體立法委員四分之一以上提議，院會決議後，由程序委員會排定議程，就國家安全大政方針，聽取總統國情報告。,內文,0.0,0.0,2,3,1,1,1
"總統就其職權相關之國家大政方針，得咨請立法院同意後，至立法院進行國情報告。
",內文,0.0,0.0,2,3,1,1,1
一、修正第一項。,內文,0.0,0.0,3,3,1,1,1
二、現行《中華民國憲法增修條文》第四條第三項規定：「立法院於每年集會時，得聽取總統國情報告。」惟現行《立法院職權行使法》第十五條之二明定，「立法院得經全體立法委員四分之一以上提議，院會決議後，由程序委員會排定議程，就國家安全大政方針，聽取總統國情報告」無疑限縮總統國情報告之範圍至國家安全大政方針，與憲法所明定總統國情報告之範圍相牴觸。,內文,0.0,0.0,3,3,1,1,1
"三、原提案刪除「就國家安全大政方針」之文字。
",內文,0.0,0.0,3,3,1,1,1
"
",內文,0.0,0.0,2,3,1,1,1
"第十五條之四　立法委員於總統國情報告完畢後，得提出問題，並由總統依序即時答復。
",內文,0.0,0.0,1,4,1,1,1
第十五條之四　立法委員於總統國情報告完畢後，得就報告不明瞭處，提出問題；其發言時間、人數、順序、政黨比例等事項，由黨團協商決定。,內文,0.0,0.0,2,4,1,1,1
"就前項委員發言，經總統同意時，得綜合再做補充報告。
",內文,0.0,0.0,2,4,1,1,1
一、修正第一項，刪除第二項。,內文,0.0,0.0,3,4,1,1,1
