text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"　　　　　　　　　　　　　　　　　　　　　　　　　　　　　議案編號：202110027140000",00000000000000000000000000000000000000000000000000,內文,0.0,8.350000381469727,,,,,
"立法院議案關係文書　 eq \o\ad(\s\up5(（中華民國41年9月起編號）),\s\do5(中華民國113年5月15日印發))",000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
院總第20號,000000,院總號/內文,0.0,0.0,1,1,1,1,0
委員,00,提案號/內文,0.0,0.0,2,1,1,1,0
提案第,000,提案號/內文,0.0,0.0,3,1,1,1,0
11002714,00000000,提案號/內文,0.0,0.0,4,1,1,1,0
號,0,提案號/內文,0.0,0.0,5,1,1,1,0
,,提案號/內文,0.0,0.0,6,1,1,1,0
,,提案號/內文,0.0,0.0,7,1,1,1,0
,,內文,0.0,0.0,2,1,1,1,0
"",0,案由(議)/內文,0.0,0.0,,,,,
"案由：本院委員呂玉玲等16人，有鑑於現行法律立法權針對行政權虛偽陳述、不假缺席、拒予回應等濫權行為未能有效監督。爰擬具「立法院職權行使法增訂第二十八條之三及第二十八條之四條文草案」。是否有當？敬請公決。",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,案由(議)/內文,0.0,0.0,,,,,
"",0,案由(議)/內文,0.0,0.0,,,,,
"說明：",0000,說明/內文,0.0,0.0,,,,,
"一、我國立法院職權行使法訂有立法院具有質詢、文件調閱等權力，惟本法並未賦予立法院相關強制權力，致使立法院針對行政權消極應對監督時，立法院僅能以政治影響力促使行政權積極回應，現行法律明顯不利立法權監督行政權。",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,說明(無函件項目符號)/內文,0.0,0.0,,,,,
"二、爰增訂第二十八條之三，行政官員於國會備詢時作虛偽陳述或提供不實資料者，處一年以上五年以下有期徒刑；增訂第二十八條之四，未經會議主席准假而缺席者，視為藐視國會，處一年以下有期徒刑。",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,說明(無函件項目符號)/內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
"提案人：呂玉玲　　",0000000000,提案連署人-議程/內文,0.0,0.0,,,,,
"連署人：邱鎮軍　　許宇甄　　陳菁徽　　馬文君　　盧縣一　　涂權吉　　鄭天財Sra Kacaw　　　牛煦庭　　林倩綺　　羅廷瑋　　洪孟楷　　蘇清泉　　柯志恩　　廖偉翔　　王育敏　　",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,提案連署人-議程/內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
,0,說明(內文)/內文,0.0,0.0,,,,,
,0,內文,0.0,0.0,,,,,
立法院職權行使法增訂第二十八條之三及第二十八條之四條文草案,000000000000000000000000000000,內文,5.25,5.25,1,1,2,1,1
,,內文,0.0,0.0,,,,,
增訂條文,0000,表格第一列(文字分散)/內文,0.0,0.0,1,2,1,1,1
說明,00,表格第一列(文字分散)/內文,0.0,0.0,2,2,1,1,1
,,內文,0.0,0.0,2,2,1,1,1
第二十八條之三　行政院院長、各部會首長及相關出席立法院會議之政府人員，於答詢時作虛偽陳述或提供不實資料者，處一年以上五年以下有期徒刑。,0000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,1,3,1,1,1
"一、本條新增。",00000000,內文,0.0,0.0,2,3,1,1,1
二、為提升立法權對行政權有效監督，特訂定國會偽證罪，於國會答詢時作虛偽陳述或提供不實資料者，處一年以上五年以下有期徒刑。,000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,2,3,1,1,1
,,內文,0.0,0.0,2,3,1,1,1
第二十八條之四　行政院院長、各部會首長及相關出席立法院會議之政府人員，於接獲立法院邀請出席會議時，未經會議主席准假而缺席者，為藐視國會，處一年以下有期徒刑。,000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,1,4,1,1,1
"一、本條新增。",00000000,內文,0.0,0.0,2,4,1,1,1
二、為提升立法權對行政權有效監督，避免行政權規避立法權監督，特訂定藐視國會罪，於受邀立法院出席會議後未經會議主席准假而缺席者，為藐視國會，處一年以下有期徒刑。,0000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,2,4,1,1,1
,,內文,0.0,0.0,2,4,1,1,1
"",0,內文,0.0,0.0,,,,,
