text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"　　　　　　　　　　　　　　　　　　　　　　　　　　　　　議案編號：202110027130000",00000000000000000000000000000000000000000000000000,內文,0.0,8.350000381469727,,,,,
"立法院議案關係文書　 eq \o\ad(\s\up5(（中華民國41年9月起編號）),\s\do5(中華民國113年5月15日印發))",000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
院總第20號,000000,院總號/內文,0.0,0.0,1,1,1,1,0
委員,00,提案號/內文,0.0,0.0,2,1,1,1,0
提案第,000,提案號/內文,0.0,0.0,3,1,1,1,0
11002713,00000000,提案號/內文,0.0,0.0,4,1,1,1,0
號,0,提案號/內文,0.0,0.0,5,1,1,1,0
,,提案號/內文,0.0,0.0,6,1,1,1,0
,,提案號/內文,0.0,0.0,7,1,1,1,0
,,內文,0.0,0.0,2,1,1,1,0
"",0,案由(議)/內文,0.0,0.0,,,,,
"案由：本院委員呂玉玲等17人，有鑑於現行法律立法權無法有效監督總統及其國家大政方針，縱使立法院職權行使法設有總統國情報告，惟本法現行制度下，總統國情報告仍需全體立法院決議，致使設立該制度至今皆未啟用，形同虛設，亦不利人民民意之監督。爰擬具「立法院職權行使法第十五條之一條文修正草案」。是否有當？敬請公決。",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,案由(議)/內文,0.0,0.0,,,,,
"",0,案由(議)/內文,0.0,0.0,,,,,
"說明：",0000,說明/內文,0.0,0.0,,,,,
"一、我國立法院職權行使法第十五條之一、第十五條之二、第十五條之三、第十五條之四、第十五條之五設有總統國情報告制度，本法第十五條之二規定，總統國情報告需經立法院全體立法委員四分之一以上提議，並經由院會決議後，始得聽取總統國情報告；而總統亦得經咨請立法院同意後，致立法院進行國情報告。",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,說明(無函件項目符號)/內文,0.0,0.0,,,,,
"二、我國總統負有任命行政院長、制定國家大政方針、對外代表中華民國、統率全國陸海空軍之權，惟我國現行體制並未針對總統權力為有效監督，致始中華民國總統長年處於有權無責、遠離民意、逃避監督之高位。",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,說明(無函件項目符號)/內文,0.0,0.0,,,,,
"三、爰提案修正第十五條之一，將總統國情報告修正為立法院每年集會之必要會議，並保留現行本法第十五條之二第一項及第二項，立法院召開總統國情報告之程序作為立法院主動邀請總統為總統國情報告之權力，及總統主動赴立法院進行國情報告之權力。",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,說明(無函件項目符號)/內文,0.0,0.0,,,,,
"四、本法第十五條之一係源於憲法增修條文第四條第三項，賦予立法院得邀請總統進行國情報告之權力；惟本修正案訂定總統每年應前往立法院進行國情報告，實賦予總統積極向人民報告之責任，有助憲政權力制衡、維持憲政平衡。",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,說明(無函件項目符號)/內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
"提案人：呂玉玲　　",0000000000,提案連署人-議程/內文,0.0,0.0,,,,,
"連署人：邱鎮軍　　盧縣一　　涂權吉　　許宇甄　　羅廷瑋　　鄭天財Sra Kacaw　　　葉元之　　林倩綺　　洪孟楷　　柯志恩　　牛煦庭　　馬文君　　陳菁徽　　蘇清泉　　廖偉翔　　王育敏　　",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,提案連署人-議程/內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
,0,說明(內文)/內文,0.0,0.0,,,,,
,0,內文,0.0,0.0,,,,,
立法院職權行使法第十五條之一條文修正草案對照表,000000000000000000000000,內文,5.25,5.25,1,1,3,1,1
,,內文,0.0,0.0,,,,,
修正條文,0000,表格第一列(文字分散)/內文,0.0,0.0,1,2,1,1,1
現行條文,0000,表格第一列(文字分散)/內文,0.0,0.0,2,2,1,1,1
說明,00,表格第一列(文字分散)/內文,0.0,0.0,3,2,1,1,1
,,內文,0.0,0.0,2,2,1,1,1
"第十五條之一　依中華民國憲法增修條文第四條第三項規定，立法院應於每年集會時，聽取總統國情報告。",000000000000000000000000000000400000000000000000,內文,0.0,0.0,1,3,1,1,1
"總統應於每年二月一日以前，將該年國家大政方針印送全體立法委員，並於二月底向立法院提出國情報告。",444444444444444444444444444444444444444444444440,內文,0.0,0.0,1,3,1,1,1
新任總統應於就職兩週內，向立法院提出國家大政方針，並於一個月內向立法院提出國情報告。,444444444444444444444444444444444444444444,內文,0.0,0.0,1,3,1,1,1
第十五條之一　依中華民國憲法增修條文第四條第三項規定，立法院得於每年集會時，聽取總統國情報告。,00000000000000000000000000000040000000000000000,內文,0.0,0.0,2,3,1,1,1
"一、修正第一項，另新增第二項、第三項。",00000000000000000000,內文,0.0,0.0,3,3,1,1,1
"二、為提升立法權對行政權有效監督，增訂總統應於每年二月一日以前，應同行政院施政報告，提出國家大政方針並於二月底前向立法院提出國情報告。",00000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,3,3,1,1,1
三、增訂新任總統就職兩週內，應向立法院提出國家大政方針，並於一個月內赴立法院進行國情報告。,000000000000000000000000000000000000000000000,內文,0.0,0.0,3,3,1,1,1
,,內文,0.0,0.0,2,3,1,1,1
"",0,內文,0.0,0.0,,,,,
"",00,內文,0.0,0.0,,,,,
