text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"黨團協商紀錄",0000000,內文,0.0,0.0,,,,,
立法院第11屆第1會期黨團協商會議紀錄,11111111111111111111,內文,5.25,15.75,,,,,
"時　　間　中華民國113年5月15日（星期三）12時5分至13時5分",11111000000000000000000000000000000,主席(多位主席),0.0,0.0,,,,,
"地　　點　本院群賢樓801會議室",11111000000000000,主席(多位主席),0.0,0.0,,,,,
"主　　席　王委員育敏",11111000000,主席(多位主席),0.0,0.0,,,,,
"協商主題　一、社會福利及衛生環境委員會報告併案審查委員王育敏等19人、委員蘇清泉等28人及國民黨黨團分別擬具「全民健康保險法第六十二條條文修正草案」案。",11111000000000000000000000000000000000000000000000000000000000000000000000000,朝野協商(次標題)/內文,0.0,0.0,,,,,
"二、逕付二讀：委員謝衣鳯等21人、委員楊瓊瓔等26人分別擬具「全民健康保險法第六十二條條文修正草案」等2案。",0000000000000000000000000000000000000000000000000000000,朝野協商(內文)/內文,0.0,0.0,,,,,
"主席：今天主要是有關於全民健康保險法修正草案黨團協商，現在要併案協商的是全民健康保險法第六十二條修正草案，總共有5個案：一、已經併案審查完竣3案：委員王育敏等19人、委員蘇清泉等28人及國民黨黨團分別擬具全民健康保險法第六十二條條文修正草案。二、逕付二讀案：委員謝衣鳯等21人、委員楊瓊瓔等26人分別擬具全民健康保險法第六十二條條文修正草案。",1110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"現在開始協商，在委員會已經審查完竣的有3案，今天有逕付二讀的2個案子，針對這總共5案，經過這段期間，主管機關回去之後有沒有深思到底醫界的這些訴求當中，衛福部要怎麼來調整，可以呼應醫界，這些第一線的醫護人員真的非常辛苦，醫院的經營也不是很容易，幾位委員提出來，包括國民黨黨團提出來，希望調高健保點值，就是希望可以不要讓醫事人員付出的心力被打折，或者醫事服務被打折，經過這段時間，不曉得衛福部這邊是不是有調整了一些作法，請次長先跟大家說明一下。",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"周次長志浩：主席及各位委員好。其實在這段時間我們也在思考，無論上次的審查會或委員所辦的公聽會各界的一些意見，的確，我們到目前為止還是在處理的過程當中，覺得如果照這幾個版本所提出的方案，我們執行上會有很大的困難，我們的確還需要跟行政院做仔細的討論，因為這裡面的問題顯然不是衛福部單獨一個部會所能夠解決的，我們現在在盤點這些問題，希望新內閣各部會都就任之後，我們來跟行政院討論，我們覺得這樣討論才是比較有建設性的方式來達到大家共同的看法。以上報告。",1111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"主席：次長，因為我們都知道賴總統提出健康臺灣這個非常重要的政見，健康臺灣其實也舉辦了多次的論壇，當中當然也提到了全民健保的部分，包括你們上次說財務困難，是不是要有一些增加財務的方案，這些到底有沒有在談？我的意思是說下禮拜賴總統就上任了，所以健康論壇是健康論壇，還是健康論壇會變成一個上位的政策引領？賴總統要上任了，他自己的政見會不會變成政策，這是大家關注的，到底目前的進度為何，大家其實也很好奇。",1110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"周次長志浩：目前所提出來健康臺灣這些看法，現在已經分交由相關單位、相關司署，針對這部分，我們在政策上面是不是都可以執行、需要的資源是哪些，現在都還在盤點當中，這個工作沒有暫緩下來。",1111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"主席：所以有持續在研議嘛！",11100000000000,內文,0.0,0.0,,,,,
"周次長志浩：有。",111111000,內文,0.0,0.0,,,,,
"主席：謝謝次長，今天出席的部門，包括國發會和行政院主計總處，是不是也講一下這段期間你們有沒有做什麼討論、有沒有什麼進展？請國發會謝處長講一下。沒有進展？沒有在動啊！只有衛福部在動！行政院主計總處有沒有？基金預算處有沒有？請黃專門委員說明。",111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"黃專門委員厚輯：如同剛剛衛福部提到的。",11111111000000000000,內文,0.0,0.0,,,,,
"主席：你們有接到指令嗎？",1110000000000,內文,0.0,0.0,,,,,
"黃專門委員厚輯：沒有，政策上還沒有指示。",111111110000000000000,內文,0.0,0.0,,,,,
"主席：沒有下達到基金預算處？只有衛福部有接收到？你們要pass出去啊！",111000000000000000000000000000000000,內文,0.0,0.0,,,,,
"周次長志浩：不是！我們自己內部也覺得這件事情大家有不同意見，的確要仔細思考，如果可行的部分，我們就化為政策來做。",111111000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"主席：所以現在還停留在衛福部研議的階段，還沒有到其他部門，所以國發會跟行政院主計總處基金預算處都沒有嘛！我的意思就是說，只有你們在研議，其他部會其實都還在看你們研議出什麼再配合，是不是？",1110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"周次長志浩：現在我們各司署在研議，裡面需要的經費有多少，我們內部必須要討論之後，如果真的需要他們幫忙的時候，才會找他們一起來討論。",111111000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"主席：請黃秀芳委員發言，然後是蘇清泉委員。",1110000000000000000000,內文,0.0,0.0,,,,,
"黃委員秀芳：謝謝主席，剛剛次長有特別提到等到新部長上任之後，我們再來協商，因為畢竟新的部長和次長下禮拜就要上任了，是不是可以先緩一緩，新的內閣也許可以找到財源也不一定，建議主席等到新內閣上任之後，新部長到任，我們再來協商。",1111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"主席：請蘇清泉委員。",11100000000,內文,0.0,0.0,,,,,
"蘇委員清泉：這張是昨天幾位大醫院院長聚會提出來的，提到這兩年我們的平均餘命已經下降了，我跟秀芳召委說，我們這兩年平均餘命減少差不多2歲，減2歲的原因是什麼？當然，我們健保政策是全世界最好，為什麼全世界最好？就是我們健保署有像石崇良署長那麼優秀的，他對健保和對每一家醫院瞭若指掌，要修理哪一家醫院他都很清楚，但是他不會，所以每一個醫療院所看到石崇良就聞風喪膽。",111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
