text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"　　　　　　　　　　　　　　　　　　　　　　　　　　　　　議案編號：202110040840000",00000000000000000000000000000000000000000000000000,內文,0.0,8.350000381469727,,,,,
"立法院議案關係文書　 eq \o\ad(\s\up5(（中華民國41年9月起編號）),\s\do5(中華民國113年5月15日印發))",000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"",0,內文,0.0,0.0,,,,,
院總第20號,000000,院總號/內文,0.0,0.0,1,1,1,1,0
委員,00,提案號/內文,0.0,0.0,2,1,1,1,0
提案第,000,提案號/內文,0.0,0.0,3,1,1,1,0
11004084,00000000,提案號/內文,0.0,0.0,4,1,1,1,0
號,0,提案號/內文,0.0,0.0,5,1,1,1,0
,,提案號/內文,0.0,0.0,6,1,1,1,0
,,提案號/內文,0.0,0.0,7,1,1,1,0
,,內文,0.0,0.0,2,1,1,1,0
"",0,案由(議)/內文,0.0,0.0,,,,,
