text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
"黨團協商紀錄",0000000,內文,0.0,0.0,,,,,
立法院第11屆第1會期黨團協商會議紀錄,11111111111111111111,內文,5.25,15.75,,,,,
"時　　間　中華民國113年5月17日（星期五）12時1分至16時55分",111110000000000000000000000000000000,主席(多位主席),0.0,0.0,,,,,
"地　　點　本院議場三樓會議室",111110000000000,主席(多位主席),0.0,0.0,,,,,
"主　　席　韓院長國瑜",11111000000,主席(多位主席),0.0,0.0,,,,,
"協商主題　議案研商",1111100000,朝野協商(次標題)/內文,0.0,0.0,,,,,
"主席：本院江副院長、周秘書長、各位黨團幹部辛苦了！大家今天要協商的部分是本次院會的後續程序，因為目前報告事項處理完畢，後續是處理變更議程討論事項，請問各位黨團幹部有什麼寶貴意見？",111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"柯委員建銘：院長、各位協商代表。今天早上九點鐘以後，我到院長室跟院長談，我想昨天也是跟你談一樣的話，我一直在呼籲、在臉書上一直講，就是說臺灣的民主能夠發展到今天，三十年來我們都走過，我們三十年前一起擔任立委，你有幸當院長，我有幸見證整個民主的發展。民主是非常可貴的，在這以前，三代臺灣人犧牲奉獻幾萬人，才走到今天來，這個民主是相當可貴的，但是這個民主要被摧毀也是在旦夕之中，尤其今天是最重要的一天，所以我要求要朝野協商。前幾次朝野協商，大家都很清楚是這樣走過來，這樣走過來的中間，我一直很捍衛一件事情，而且是沒有辦法妥協的事情，就是說我們第一個要依法來做，第二個要有程序正義才有實質正義。整個國會職權行使法不管內容怎麼樣，假如透過大家協商，然後最後簽字、表決，我們本來就會輸啊！1985年到2016年三十年來，民進黨在立法院表決幾萬次，不管在院會、委員會、程序委員會都輸，但我們越挫越勇。我個人進到立法院，從1993年到2016年二十二年間，從來沒有贏過，這段歷史大家都很清楚，即便賴總統在立法院十二年，他那時候當幹事長，我們一樣沒有贏，但我們是百折不撓，讓臺灣民主能夠往前走，這是很重要的。",11111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"所以我要說兩點：第一個，在這個時候，韓院長你議事中立的角色是非常重要的，凡事在你一念之間，你不要屈服於人情而不好意思，就是說國民黨排這麼久，今天不處理，你怎麼辦？這不是這樣一回事，對於議事規則解釋上，也許過去你比較不瞭解，本席在這裡三十一年來，我總共參加過七百場朝野協商，就是差不多整整兩年，每天都在協商，我當然瞭解這中間的過程應該是怎樣，從劉松藩院長、王金平院長、蘇嘉全院長，乃至於到最後游錫堃院長，坐在這個位置上，大家不厭其煩的協商，協商到最後、講完了以後，大家要簽名，然後表決，包括院會也是要讓大家充分發言，院會表決的時候，要幾個人發言，這個都是願賭服輸的，這是民主。未來四年中間，我可以認真告訴你，也告訴傅總召、黃總召，未來四年你們聯手起來，我們沒有一件會贏，這是事實，不會存在說表決幾次就好像非常受不了，我們對這件事情非常淡定、瞭解、清楚得很，所以我要講的就是，假如今天大家不依法、沒有程序正義的話，所以我昨天臉書有講，會發生史上最大的嚴重衝突，為什麼？我們要捍衛立法院，要捍衛立法院的存在，讓國會的功能能夠存在，民主能夠繼續發展、遂行，否則臺灣的國會會變成中國人大化，變成香港化。假如變香港化，難保臺灣不會香港化嗎？影響所及不是只有國會已死、民主已死，是臺灣……我再把話講清楚，請不要急，好不好？這是一個非常關鍵的……很抱歉。臺灣這樣的情形，在整個民主國家，大家會怎麼樣看待臺灣是一個可以合作的夥伴呢？外媒不會關心嗎？主管單位不會關心嗎？他們為什麼會這麼關心，因為臺灣到底未來發展會變成怎麼樣？",000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"所以我在這裡要很懇切地講，回到一個原點，院長，還是你一念之間，這個中間的過程我都不要講太清楚，我只要講兩點就好了。我為什麼說一定要依法，職權行使法規定得很清楚，不存在所謂黃國昌講的一個月到就要表決。我每次要跟他辯論，他就走，然後每次講話都講一些誰插話、誰怎麼樣、講話太久，就是這種枝節問題，不敢面對真正的問題來面對問題。",00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
"職權行使法第七十一條之一的規定，這是國會五法，當年1993年到1999年1月我全程參與了，才有國會五法，才有職權行使法，才有立法院議事規則，才有立法委員行為法，才有立法院組織法、各委員會組織法，這是劉松藩時代留給國會最重要的事情。所以很清楚，職權行使法過去是四個月以後，朝野協商講不下去，四個月以後就表決，那是依法經過整個程序走過來的，有正常的程序正義。後來馬英九上臺以後，那時候是我們27席的時候，他在國會絕對多數，後來他把它改為一個月以後，但這個法是怎麼寫？委員會協商以後沒有結論，一個月後要表決，這是定期表決，這時候就回到立法院職權行使法第六十八條，很清楚，院長的功能就在這個地方，你所有權力只有在這個地方，你對國會負責，在整個國會要當領導者、中立角色，你的角色就出現了，為什麼呢？要黨團協商或者有爭議事項，我要求你協商，你一定要協商；你要求大家來，我們一定來。過去這麼多年來，王院長或者任何後任院長邀集朝野協商，我從來不會缺席，都是用朝野協商來踐行民主，大家在裡面能夠辯論。",0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,內文,0.0,0.0,,,,,
