text,style,space_before,space_after,col_id,row_id,cell_width,cell_height,cell_id
立法院第11屆第1會期黨團協商會議紀錄,內文,5.25,15.75,,,,,
,內文,5.25,15.75,,,,,
時　　間　中華民國113年4月30日（星期二）9時47分至11時32分,朝野協商(次標題)/內文,0.0,0.0,,,,,
地　　點　本院議場3樓會議室,朝野協商(次標題)/內文,0.0,0.0,,,,,
主　　席　韓院長國瑜,內文,0.0,0.0,,,,,
協商主題　議案協商,朝野協商(次標題)/內文,0.0,0.0,,,,,
主席：謝謝大家，今天通知大家來開會，大家都比較忙碌！本院江副院長、周秘書長、各黨團的黨團幹部、各部會的列席代表、各位辛苦的工作夥伴。對不起，王部長，我還沒看到，對不起！你低著頭，我沒看到，對不起！,內文,0.0,0.0,,,,,
我們的協商主題第一案，就是本院國民黨黨團提案有關電價凍漲的議題，我們現在協商國民黨黨團的提案：為避免物價因電價調漲，民生痛苦指數飆升，因此反對台電公司調漲電價，建請院會作成決議：「立即停止調漲電價，並要求行政院責成相關部會即刻檢討現行能源政策並提出因應對策與配套措施，以兼顧人民生計、維持供電穩定及台電公司之正常營運。」。本案經113年3月29日立法院第11屆第1會期第7次院會決議：交付黨團協商，並由國民黨黨團負責召集協商，協商會議請各黨團指派代表參加；另經113年4月24日由楊瓊瓔召委召集黨團協商，會中由於民進黨未派員出席，主席作成結論：本案保留送請院長協商。,內文,0.0,0.0,,,,,
協商會議之前，我想先請經濟部王部長說明，好嗎？謝謝。,內文,0.0,0.0,,,,,
"王部長美花：謝謝主席、各位委員。有關電價這個部分，我們目前是按照電業法第四十九條，也考量到俄烏戰爭之後的電價成本確實高漲，事實上，各個國家漲的幅度都遠遠高於臺灣漲的幅度，台電也因為這樣的國際原料高漲，所以原料採購幾乎達6,000億的金額，俄烏戰爭前的原料採購成本大概是3,000億，其實已經成長翻倍，這也確實造成台電的巨額虧損！所以我們按照電業法成立電價審議委員會，在相關的審議會討論通過。",內文,0.0,0.0,,,,,
關於這樣的調漲情形，事實上也呼應大家提到照顧庶民、照顧中小企業等等，所以我們臺灣的電價調漲情形依我看是全世界僅見，就是依不同情境做不同的調漲方法，所以對一般民生用電調得非常少，甚至過往很多次調漲都沒有調；用電越大，調得越多。即使是調得越多，我們這次最高調到增加25%，這個最大用戶部分大概也是接近我們的成本，只有這樣；其他部分其實都還是遠低於台電的相關發電成本。因此即使我們這樣調漲之後，仍舊需要行政院給我們相關的經費補助，讓台電的虧損不要再持續地惡化跟擴大。以上我先就這個部分簡單說明。,內文,0.0,0.0,,,,,
主席：謝謝王部長的說明。接下來我介紹一下今天到席的所有官員，我們王部長，大家都已經聽到他的發言了，接下來，能源署的吳副署長志偉、台電的曾董事長文生。,內文,0.0,0.0,,,,,
現在我們請各黨團來發表意見，國民黨團是協商代表，請國民黨團先發言。,內文,0.0,0.0,,,,,
洪委員孟楷：感謝院長召集協商，我想今天針對我們3月29號所提出來的這一個案件，不管是剛剛經濟部王美花部長所講，或者是之前我們在4月24號的時候，我們已經有召開過協商，其實都還是一樣的論點，而剛剛透過直播，我想大家都聽到王美花部長的講法，我心裡只有一個結論，好像王美花部長講的還是一樣，就是一句話總結啊！又是要講說民進黨政府主政之下，世界怎麼跟得上臺灣，把臺灣講得好棒棒，但是我們現在真的是這樣嗎？錯誤的能源政策不檢討、不調整、不改變，有什麼臉或是有什麼意思來對全民講說是什麼世界原物料調漲、俄烏戰爭？俄烏戰爭幾年了？,內文,0.0,0.0,,,,,
我們看一下世界原油的趨勢或是跟世界相關的原物料，2021年來到最高點，價格最高，到現在2024年相對來講已經回到比2021年差不多、已經回到之前的基準點了，所以我們看到的狀況是原物料的價格其實已經比之前的高點來得趨緩很多，而且看到趨勢是往下的，反而我們的電價是持續往上，所以推到世界原物料的調漲，然後又推到俄烏戰爭，我覺得這是不負責任的一個講法。,內文,0.0,0.0,,,,,
回過頭來，我們在這一次特別提到，因為電價調漲會造成所有物價整個大幅調漲，而不管是我們國內很多的這一些經濟研究相關的機構都沒有算到今年2024年的電價要再調漲，也因此我們的通貨膨脹會有什麼樣的影響？所以我們才會特別提案，認為現在應該是要責成相關部會，尤其在520新閣揆的就任前後，現在的部長也沒有辦法為之後的政策再來做背書，應該是要立即調整現行能源政策，並且來做相關的配套以及對策，才能夠真真正正、維護穩定的供電。,內文,0.0,0.0,,,,,
最後，我們還是再次強調，自始至終、從頭到尾我們都感謝台電第一線的公務人員，我們自己是選區出身，我們非常理解，台電的基層人員非常辛苦，颳風、下雨、打雷，他們都是出動，我們由衷感謝，但如果錯誤的能源政策不調整的話，換一百個總經理都無濟於事，所以不要再拿台電的總經理、台電的人員來當第一線去轉換概念，你們上位者的頭腦不換、政治意識形態頭腦不換，什麼都沒有用。,內文,0.0,0.0,,,,,
我最後也必須要再說一下，今天感謝院長召開協商，否則的話，我們的執政黨黨團在過去4月24號上個禮拜三時國民黨團召開協商，枯坐半小時，執政黨的民進黨團沒有派人出席，4月26號禮拜五民眾黨團召開兩次朝野協商，民進黨團沒有派人出席。如果我們要要求一個議事、要求一個立院朝野和諧的話，最基本的出席尊重，這是必要的。,內文,0.0,0.0,,,,,
所以今天特別感謝院長，也讓我們三個黨團能夠坐下來一起開會。我想等一下的結論，我們也希望民進黨團他們當初應該在424、426就可以表達意見了，沒有想到要在這個時候才能表達，但是我們還是堅持我們的立場，認為台電、認為現在民進黨政府應該面對錯誤的能源政策，先檢討，再來跟全民做後續的一個政策，謝謝。,內文,0.0,0.0,,,,,
主席：謝謝國民黨團洪孟楷書記長的發言。接下來我們請同時提案的民眾黨黃國昌總召發言，請。,內文,0.0,0.0,,,,,
黃委員國昌：謝謝院長。台灣民眾黨黨團所提出來要求經濟部針對整體的能源政策、電價費率結構以及台電相關各項支出，還有撙節的措施向本院經濟委員會提出全面檢討報告，然後經過審議通過以前，電價全面緩漲的議案，當初在提案的時候，我們黨團的張啓楷委員已經在院會當中做了清楚的說明，那一天因為是民主進步黨黨團把它拉了，要求要交付協商，同時要求台灣民眾黨黨團來負責召集協商，我們也按照院會當中院長所做的裁示，我們也召集了協商。不過很遺憾的，我們發出了會議通知，也召集了協商，也非常感謝行政部門經濟部政次曾文生跟相關台電的總經理都有來參與協商，也做了口頭的說明。因此那次的協商，包括前半小時是第二案，後半小時是第三案，也踐行了院長那個時候在主席臺上面宣告要求台灣民眾黨黨團召集協商這樣子的一個議事程序。,內文,0.0,0.0,,,,,
